Freq[Hz]  Imp[Ohm]  Phase[Deg]
162.327     10.771   -39.489
164.688     10.666   -39.010
167.084     10.565   -38.554
169.514     10.460   -38.107
171.980     10.357   -37.658
174.481     10.256   -37.204
177.019     10.156   -36.738
179.594     10.065   -36.274
182.206      9.977   -35.823
184.856      9.890   -35.382
187.545      9.807   -34.949
190.273      9.725   -34.524
193.041      9.649   -34.124
195.849      9.571   -33.763
198.697      9.484   -33.419
201.587      9.387   -33.052
204.520      9.285   -32.626
207.494      9.184   -32.130
210.512      9.092   -31.574
213.574      9.013   -30.982
216.681      8.951   -30.409
219.833      8.892   -29.879
223.030      8.832   -29.362
226.274      8.778   -28.862
229.565      8.720   -28.373
232.905      8.663   -27.869
236.292      8.615   -27.370
239.729      8.569   -26.900
243.216      8.522   -26.451
246.754      8.475   -26.015
250.343      8.429   -25.606
253.984      8.373   -25.201
257.678      8.313   -24.758
261.426      8.261   -24.300
265.229      8.201   -23.825
269.087      8.145   -23.304
273.001      8.099   -22.777
276.972      8.053   -22.257
281.000      8.006   -21.723
285.088      7.965   -21.177
289.234      7.928   -20.637
293.441      7.892   -20.104
297.709      7.858   -19.578
302.040      7.825   -19.060
306.433      7.789   -18.532
310.890      7.757   -17.992
315.412      7.726   -17.443
320.000      7.700   -16.895
324.655      7.678   -16.378
329.377      7.649   -15.871
334.168      7.616   -15.336
339.028      7.584   -14.758
343.959      7.556   -14.132
348.962      7.538   -13.480
354.038      7.531   -12.845
359.188      7.528   -12.248
364.412      7.528   -11.688
369.713      7.528   -11.157
375.090      7.528   -10.646
380.546      7.528   -10.150
386.081      7.528    -9.667
391.697      7.528    -9.194
397.394      7.528    -8.730
403.175      7.528    -8.273
409.039      7.528    -7.823
414.989      7.528    -7.377
421.025      7.528    -6.936
427.149      7.528    -6.498
433.362      7.528    -6.062
439.665      7.528    -5.628
446.060      7.528    -5.195
452.548      7.528    -4.761
459.131      7.528    -4.325
465.809      7.528    -3.885
472.584      7.528    -3.440
479.458      7.528    -2.987
486.432      7.528    -2.520
493.507      7.528    -2.028
500.686      7.533    -1.509
507.968      7.543    -0.965
515.357      7.566    -0.432
522.853      7.598     0.040
530.458      7.630     0.441
538.174      7.662     0.776
546.002      7.684     1.060
553.943      7.693     1.353
562.001      7.698     1.697
570.175      7.703     2.096
578.469      7.716     2.537
586.883      7.741     2.972
595.419      7.773     3.355
604.080      7.805     3.678
612.866      7.835     3.945
621.780      7.854     4.180
630.824      7.862     4.438
640.000      7.867     4.752
649.309      7.873     5.123
658.753      7.889     5.531
668.335      7.916     5.928
678.056      7.948     6.278
687.919      7.980     6.577
697.925      8.008     6.838
708.077      8.027     7.095
718.376      8.041     7.391
728.825      8.061     7.724
739.426      8.089     8.054
750.181      8.122     8.348
761.093      8.154     8.600
772.163      8.180     8.821
783.394      8.198     9.051
794.789      8.212     9.326
806.349      8.233     9.637
818.078      8.263     9.937
829.977      8.295    10.202
842.050      8.327    10.428
854.298      8.352    10.628
866.724      8.368    10.847
879.330      8.382    11.116
892.120      8.405    11.419
905.097      8.436    11.707
918.262      8.469    11.963
931.618      8.501    12.190
945.169      8.529    12.398
958.917      8.549    12.629
972.864      8.576    12.884
987.015      8.609    13.122
1001.37      8.641    13.333
1015.94      8.673    13.513
1030.71      8.696    13.677
1045.71      8.710    13.873
1060.92      8.725    14.122
1076.35      8.750    14.393
1092.00      8.782    14.644
1107.89      8.814    14.860
1124.00      8.845    15.046
1140.35      8.866    15.224
1156.94      8.880    15.437
1173.77      8.897    15.699
1190.84      8.923    15.977
1208.16      8.956    16.236
1225.73      8.988    16.469
1243.56      9.019    16.681
1261.65      9.043    16.894
1280.00      9.066    17.134
1298.62      9.096    17.384
1317.51      9.128    17.620
1336.67      9.161    17.839
1356.11      9.191    18.043
1375.84      9.214    18.256
1395.85      9.238    18.498
1416.15      9.269    18.747
1436.75      9.301    18.983
1457.65      9.333    19.203
1478.85      9.363    19.412
1500.36      9.385    19.636
1522.19      9.411    19.890
1544.33      9.442    20.147
1566.79      9.474    20.388
1589.58      9.506    20.611
1612.70      9.531    20.825
1636.16      9.548    21.066
1659.95      9.562    21.367
1684.10      9.584    21.716
1708.60      9.615    22.080
1733.45      9.652    22.446
1758.66      9.693    22.815
1784.24      9.743    23.171
1810.19      9.795    23.509
1836.52      9.855    23.828
1863.24      9.920    24.098
1890.34      9.980    24.320
1917.83     10.032    24.527
1945.73     10.082    24.726
1974.03     10.123    24.927
2002.74     10.160    25.156
2031.87     10.193    25.423
2061.43     10.225    25.740
2091.41     10.259    26.132
2121.83     10.318    26.564
2152.69     10.395    26.967
2184.01     10.486    27.305
2215.77     10.584    27.546
2248.00     10.670    27.710
2280.70     10.743    27.849
2313.87     10.806    27.996
2347.53     10.863    28.180
2381.68     10.928    28.387
2416.32     10.993    28.595
2451.46     11.062    28.801
2487.12     11.132    28.999
2523.30     11.200    29.195
2560.00     11.270    29.394
2597.24     11.340    29.597
2635.01     11.414    29.801
2673.34     11.493    29.989
2712.23     11.573    30.153
2751.68     11.646    30.307
2791.70     11.716    30.468
2832.31     11.786    30.643
2873.50     11.856    30.834
2915.30     11.932    31.037
2957.70     12.014    31.233
3000.72     12.098    31.416
3044.37     12.185    31.585
3088.65     12.270    31.743
3133.58     12.358    31.893
3179.16     12.443    32.038
3225.40     12.530    32.177
3272.31     12.615    32.313
3319.91     12.702    32.447
3368.20     12.787    32.578
3417.19     12.875    32.709
3466.89     12.959    32.839
3517.32     13.047    32.972
3568.48     13.131    33.108
3620.39     13.219    33.252
3673.05     13.308    33.403
3726.47     13.402    33.560
3780.67     13.504    33.706
3835.67     13.607    33.835
3891.46     13.710    33.952
3948.06     13.815    34.055
4005.49     13.916    34.152
4063.75     14.021    34.246
4122.86     14.124    34.332
4182.82     14.227    34.416
4243.66     14.332    34.493
4305.39     14.433    34.568
4368.01     14.538    34.643
4431.55     14.640    34.713
4496.01     14.744    34.783
4561.40     14.848    34.848
4627.75     14.948    34.915
4695.06     15.050    34.987
4763.35     15.148    35.070
4832.64     15.250    35.172
4902.93     15.362    35.273
4974.24     15.474    35.372
5046.60     15.595    35.465
5120.00     15.722    35.532
5194.47     15.843    35.580
5270.03     15.965    35.620
5346.68     16.082    35.656
5424.45     16.197    35.703
5503.35     16.319    35.754
5583.40     16.446    35.793
5664.61     16.571    35.820
5747.01     16.696    35.840
5830.60     16.822    35.848
5915.41     16.941    35.854
6001.45     17.057    35.874
6088.74     17.181    35.901
6177.30     17.307    35.920
6267.15     17.432    35.937
6358.31     17.562    35.951
6450.80     17.693    35.954
6544.62     17.823    35.948
6639.82     17.949    35.942
6736.40     18.078    35.937
6834.38     18.210    35.925
6933.79     18.339    35.905
7034.64     18.465    35.887
7136.96     18.596    35.868
7240.77     18.726    35.838
7346.09     18.851    35.799
7452.94     18.966    35.770
