Freq[Hz]     dBSPL  Phase[Deg]
118.146     43.125   -78.605
119.865     43.557   -79.023
121.608     43.990   -79.447
123.377     44.422   -79.878
125.171     44.854   -80.315
126.992     45.286   -80.759
128.839     45.719   -81.210
130.713     46.151   -81.668
132.615     46.583   -82.133
134.543     47.016   -82.606
136.500     47.448   -83.086
138.486     47.880   -83.573
140.500     48.312   -84.069
142.544     48.745   -84.572
144.617     49.177   -85.083
146.721     49.609   -85.602
148.855     50.041   -86.130
151.020     50.474   -86.666
153.217     50.906   -87.211
155.445     51.338   -87.765
157.706     51.770   -88.327
160.000     52.203   -88.899
162.327     52.635   -89.481
164.688     53.067   -90.071
167.084     53.500   -90.672
169.514     53.932   -91.283
171.980     54.364   -91.903
174.481     54.796   -92.535
177.019     55.229   -93.177
179.594     55.661   -93.829
182.206     56.093   -94.493
184.856     56.525   -95.169
187.545     56.958   -95.856
190.273     57.390   -96.555
193.041     57.822   -97.266
195.849     58.255   -97.990
198.697     58.687   -98.727
201.587     59.119   -99.477
204.520     59.551  -100.240
207.494     59.984  -101.018
210.512     60.416  -101.810
213.574     60.848  -102.616
216.681     61.280  -103.438
219.833     61.713  -104.276
223.030     62.145  -105.130
226.274     62.577  -106.001
229.565     63.009  -106.889
232.905     63.442  -107.795
236.292     63.874  -108.719
239.729     64.306  -109.664
243.216     64.739  -110.628
246.754     65.171  -111.614
250.343     65.603  -112.622
253.984     66.035  -113.654
257.678     66.468  -114.711
261.426     66.900  -115.796
265.229     67.332  -116.909
269.087     67.764  -118.055
273.001     68.197  -119.237
276.972     68.629  -120.463
281.000     69.061  -121.742
285.088     69.494  -123.105
289.234     69.911  -124.558
293.441     70.308  -126.082
297.709     70.663  -127.572
302.040     70.992  -128.856
306.433     71.341  -129.908
310.890     71.717  -130.790
315.412     72.137  -131.563
320.000     72.622  -132.411
324.655     73.144  -133.512
329.377     73.691  -134.942
334.168     74.241  -136.772
339.028     74.763  -139.008
343.959     75.235  -141.597
348.962     75.634  -144.415
354.038     75.958  -147.271
359.188     76.220  -150.002
364.412     76.436  -152.501
369.713     76.627  -154.729
375.090     76.805  -156.689
380.546     76.981  -158.393
386.081     77.167  -159.862
391.697     77.372  -161.125
397.394     77.615  -162.267
403.175     77.891  -163.392
409.039     78.196  -164.586
414.989     78.517  -165.923
421.025     78.836  -167.421
427.149     79.145  -169.057
433.362     79.432  -170.790
439.665     79.690  -172.531
446.060     79.934  -174.231
452.548     80.161  -175.864
459.131     80.376  -177.383
465.809     80.594  -178.781
472.584     80.819   179.919
479.458     81.057   178.695
486.432     81.311   177.510
493.507     81.585   176.318
500.686     81.875   175.063
507.968     82.176   173.706
515.357     82.480   172.218
522.853     82.774   170.599
530.458     83.049   168.891
538.174     83.306   167.143
546.002     83.544   165.400
553.943     83.766   163.712
562.001     83.985   162.087
570.175     84.201   160.520
578.469     84.423   158.986
586.883     84.648   157.446
595.419     84.866   155.908
604.080     85.083   154.392
612.866     85.300   152.891
621.780     85.519   151.410
630.824     85.743   149.938
640.000     85.973   148.447
649.309     86.203   146.940
658.753     86.442   145.404
668.335     86.688   143.797
678.056     86.933   142.102
687.919     87.175   140.304
697.925     87.404   138.399
708.077     87.614   136.419
718.376     87.799   134.428
728.825     87.974   132.463
739.426     88.144   130.485
750.181     88.295   128.493
761.093     88.431   126.521
772.163     88.552   124.575
783.394     88.658   122.671
794.789     88.748   120.831
806.349     88.824   119.082
818.078     88.893   117.425
829.977     88.948   115.879
842.050     88.997   114.494
854.298     89.052   113.274
866.724     89.117   112.210
879.330     89.209   111.261
892.120     89.321   110.389
905.097     89.468   109.561
918.262     89.657   108.671
931.618     89.875   107.625
945.169     90.117   106.352
958.917     90.359   104.795
972.864     90.578   102.993
987.015     90.775   101.002
1001.37     90.933    98.888
1015.94     91.054    96.758
1030.71     91.159    94.626
1045.71     91.234    92.477
1060.92     91.268    90.394
1076.35     91.277    88.459
1092.00     91.265    86.722
1107.89     91.253    85.202
1124.00     91.257    83.845
1140.35     91.280    82.578
1156.94     91.327    81.320
1173.77     91.387    80.005
1190.84     91.452    78.613
1208.16     91.516    77.133
1225.73     91.571    75.557
1243.56     91.609    73.892
1261.65     91.612    72.200
1280.00     91.574    70.619
1298.62     91.521    69.246
1317.51     91.472    68.061
1336.67     91.431    67.020
1356.11     91.409    66.074
1375.84     91.399    65.180
1395.85     91.399    64.342
1416.15     91.421    63.548
1436.75     91.477    62.714
1457.65     91.562    61.711
1478.85     91.653    60.443
1500.36     91.723    58.908
1522.19     91.741    57.220
1544.33     91.708    55.556
1566.79     91.642    54.018
1589.58     91.558    52.626
1612.70     91.460    51.382
1636.16     91.353    50.300
1659.95     91.250    49.360
1684.10     91.154    48.511
1708.60     91.062    47.723
1733.45     90.975    46.965
1758.66     90.881    46.222
1784.24     90.771    45.541
1810.19     90.642    45.012
1836.52     90.510    44.705
1863.24     90.408    44.552
1890.34     90.322    44.454
1917.83     90.241    44.428
1945.73     90.179    44.483
1974.03     90.135    44.579
2002.74     90.109    44.696
