Freq[Hz]  Imp[Ohm]  Phase[Deg]
177.019      5.828    13.401
179.594      5.835    13.585
182.206      5.843    13.772
184.856      5.851    13.961
187.545      5.860    14.152
190.273      5.868    14.347
193.041      5.877    14.544
195.849      5.886    14.743
198.697      5.895    14.946
201.587      5.904    15.151
204.520      5.914    15.359
207.494      5.924    15.570
210.512      5.934    15.784
213.574      5.945    16.001
216.681      5.955    16.221
219.833      5.966    16.444
223.030      5.978    16.671
226.274      5.989    16.901
229.565      6.001    17.134
232.905      6.013    17.371
236.292      6.026    17.611
239.729      6.039    17.856
243.216      6.052    18.104
246.754      6.066    18.356
250.343      6.079    18.613
253.984      6.094    18.873
257.678      6.108    19.139
261.426      6.123    19.409
265.229      6.139    19.684
269.087      6.155    19.965
273.001      6.171    20.251
276.972      6.188    20.543
281.000      6.205    20.841
285.088      6.222    21.146
289.234      6.240    21.457
293.441      6.257    21.779
297.709      6.273    22.130
302.040      6.291    22.523
306.433      6.312    22.964
310.890      6.349    23.409
315.412      6.397    23.779
320.000      6.443    24.061
324.655      6.488    24.258
329.377      6.520    24.386
334.168      6.533    24.541
339.028      6.538    24.786
343.959      6.538    25.144
348.962      6.544    25.617
354.038      6.557    26.190
359.188      6.589    26.812
364.412      6.637    27.396
369.713      6.689    27.928
375.090      6.749    28.394
380.546      6.806    28.774
386.081      6.848    29.154
391.697      6.893    29.583
397.394      6.937    30.041
403.175      6.979    30.565
409.039      7.040    31.124
414.989      7.107    31.652
421.025      7.177    32.156
427.149      7.253    32.627
433.362      7.327    33.059
439.665      7.393    33.504
446.060      7.460    33.996
452.548      7.532    34.530
459.131      7.611    35.098
465.809      7.700    35.676
472.584      7.796    36.238
479.458      7.892    36.810
486.432      7.997    37.396
493.507      8.105    37.998
500.686      8.224    38.628
507.968      8.355    39.254
515.357      8.494    39.871
522.853      8.643    40.484
530.458      8.798    41.094
538.174      8.960    41.728
546.002      9.137    42.393
553.943      9.332    43.071
562.001      9.543    43.759
570.175      9.777    44.454
578.469     10.036    45.133
586.883     10.318    45.793
595.419     10.627    46.440
604.080     10.969    47.062
612.866     11.348    47.650
621.780     11.769    48.192
630.824     12.236    48.667
640.000     12.754    49.055
649.309     13.319    49.355
658.753     13.944    49.569
668.335     14.637    49.686
678.056     15.399    49.718
687.919     16.267    49.656
697.925     17.253    49.474
708.077     18.413    49.111
718.376     19.760    48.483
728.825     21.331    47.533
739.426     23.217    46.095
750.181     25.373    43.988
761.093     27.768    41.150
772.163     30.403    37.477
783.394     33.173    32.865
794.789     35.945    27.282
806.349     38.498    20.719
818.078     40.535    13.260
829.977     41.756     5.119
842.050     41.966    -3.393
854.298     41.000   -11.803
866.724     39.114   -19.670
879.330     36.499   -26.667
892.120     33.486   -32.499
905.097     30.499   -37.138
918.262     27.707   -40.715
931.618     25.244   -43.414
945.169     23.157   -45.467
958.917     21.348   -47.037
972.864     19.801   -48.255
987.015     18.386   -49.139
1001.37     17.151   -49.680
1015.94     16.062   -49.957
1030.71     15.090   -49.979
1045.71     14.249   -49.791
1060.92     13.505   -49.450
1076.35     12.854   -48.975
1092.00     12.284   -48.412
1107.89     11.780   -47.789
1124.00     11.327   -47.107
1140.35     10.934   -46.399
1156.94     10.580   -45.704
1173.77     10.257   -45.018
1190.84      9.961   -44.340
1208.16      9.681   -43.656
1225.73      9.416   -42.934
1243.56      9.171   -42.160
1261.65      8.952   -41.356
1280.00      8.753   -40.551
1298.62      8.570   -39.743
1317.51      8.404   -38.935
1336.67      8.254   -38.149
1356.11      8.110   -37.378
1375.84      7.977   -36.605
1395.85      7.855   -35.839
1416.15      7.738   -35.073
1436.75      7.632   -34.298
1457.65      7.539   -33.540
1478.85      7.450   -32.799
1500.36      7.375   -32.092
1522.19      7.301   -31.435
1544.33      7.228   -30.799
1566.79      7.159   -30.180
1589.58      7.087   -29.557
1612.70      7.019   -28.905
1636.16      6.960   -28.255
1659.95      6.902   -27.606
1684.10      6.853   -26.956
1708.60      6.813   -26.349
1733.45      6.770   -25.776
1758.66      6.729   -25.207
1784.24      6.693   -24.661
1810.19      6.653   -24.126
1836.52      6.617   -23.574
1863.24      6.588   -23.038
1890.34      6.561   -22.534
1917.83      6.538   -22.071
1945.73      6.513   -21.661
1974.03      6.481   -21.273
2002.74      6.443   -20.866
2031.87      6.398   -20.389
2061.43      6.359   -19.830
2091.41      6.330   -19.230
2121.83      6.311   -18.623
2152.69      6.305   -18.055
2184.01      6.302   -17.553
2215.77      6.302   -17.113
2248.00      6.302   -16.736
2280.70      6.299   -16.412
2313.87      6.293   -16.133
2347.53      6.276   -15.868
2381.68      6.254   -15.565
2416.32      6.231   -15.214
2451.46      6.209   -14.814
2487.12      6.193   -14.372
2523.30      6.186   -13.935
2560.00      6.183   -13.530
2597.24      6.183   -13.161
2635.01      6.183   -12.823
2673.34      6.183   -12.507
2712.23      6.183   -12.211
2751.68      6.183   -11.931
2791.70      6.183   -11.667
2832.31      6.183   -11.418
2873.50      6.183   -11.185
2915.30      6.183   -10.969
2957.70      6.183   -10.774
3000.72      6.183   -10.608
3044.37      6.181   -10.474
3088.65      6.174   -10.370
3133.58      6.158   -10.265
3179.16      6.136   -10.112
3225.40      6.113    -9.902
3272.31      6.090    -9.635
3319.91      6.074    -9.322
